vertebra_label,train_images_with_label,coverage_ratio,rarity_weight
L5,63,0.3387096774193548,1.7182493859684491
L4,86,0.46236559139784944,1.4706429538383605
L3,108,0.5806451612903226,1.3123346456686351
L2,122,0.6559139784946236,1.234742954600036
L1,129,0.6935483870967742,1.200774943574473
T12,144,0.7741935483870968,1.136515141415488
T11,158,0.8494623655913979,1.0849954791949217
T10,174,0.9354838709677419,1.0339078862458586
T9,176,0.946236559139785,1.0280166252635128
T1,177,0.9516129032258065,1.0251085101720299
T8,181,0.9731182795698925,1.0137180620824833
T2,182,0.978494623655914,1.0109292863390702
T7,183,0.9838709677419355,1.0081634007555278
T3,184,0.989247311827957,1.0054200938997546
T4,185,0.9946236559139785,1.0026990602396142
T5,186,1.0,1.0
T6,186,1.0,1.0
