policy_name,mean_proxy_dice,mean_missing_count,mean_extra_count,fraction_raw,fraction_baseline,fraction_refined,clean_improvement_rate,harm_rate
hybrid_scoliosis_baseline_else_refined_if_trim_ge_2_and_gap_le_1_else_raw,0.9253741170804868,0.3333333333333333,1.511111111111111,0.5333333333333333,0.4666666666666667,0.0,0.3111111111111111,0.15555555555555556
baseline_always,0.9196128002080586,0.4888888888888889,1.511111111111111,0.0,1.0,0.0,0.3111111111111111,0.17777777777777778
baseline_if_trim_ge_1_else_raw,0.9196128002080586,0.4888888888888889,1.511111111111111,0.5111111111111111,0.4888888888888889,0.0,0.3111111111111111,0.17777777777777778
baseline_if_trim_ge_2_else_raw,0.917549152983121,0.4888888888888889,1.5777777777777777,0.5777777777777777,0.4222222222222222,0.0,0.24444444444444444,0.17777777777777778
hybrid_refined_if_trim_ge_2_and_gap_le_1_else_baseline_if_trim_ge_1_else_raw,0.9155197360063357,0.5111111111111111,1.6,0.5111111111111111,0.35555555555555557,0.13333333333333333,0.28888888888888886,0.2
hybrid_refined_if_trim_ge_1_and_gap_le_1_else_baseline_if_trim_ge_1_else_raw,0.9142110556817601,0.6888888888888889,1.4666666666666666,0.08888888888888889,0.2222222222222222,0.6888888888888889,0.5333333333333333,0.37777777777777777
baseline_if_trim_ge_3_else_raw,0.9137545014873202,0.4222222222222222,1.7777777777777777,0.7111111111111111,0.28888888888888886,0.0,0.17777777777777778,0.1111111111111111
refined_always,0.9094059695414705,0.4666666666666667,1.8444444444444446,0.0,0.0,1.0,0.5333333333333333,0.35555555555555557
refined_if_trim_ge_1_else_raw,0.9094059695414705,0.4666666666666667,1.8444444444444446,0.1111111111111111,0.0,0.8888888888888888,0.5333333333333333,0.35555555555555557
hybrid_raw_if_gap_ge_3_else_baseline_if_trim_ge_1_else_refined_if_trim_ge_1,0.9089804917700239,0.37777777777777777,2.0,0.24444444444444444,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333
refined_if_trim_ge_2_else_raw,0.9064631635275494,0.2,2.2222222222222223,0.7555555555555555,0.0,0.24444444444444444,0.15555555555555556,0.08888888888888889
raw_only,0.888215175623899,0.0,3.0444444444444443,1.0,0.0,0.0,0.0,0.0
